place_id	name	types
ChIJhSykt7lbw4gRevdY3JXPtaU	Publix Super Market at Venice Shopping Center	supermarket,florist,deli,liquor_store,market,bakery,grocery_store,food_store,food,store,point_of_interest,establishment
ChIJH31YUOVZw4gRCgQCsiBTiVU	Publix Super Market at Venice Village Shoppes	supermarket,deli,florist,bakery,liquor_store,market,grocery_store,food_store,store,food,point_of_interest,establishment
ChIJR_ueV21Xw4gRAGMocvWUEEk	Publix Super Market at West Villages Marketplace	supermarket,deli,liquor_store,florist,bakery,grocery_store,market,food_store,store,point_of_interest,food,establishment
ChIJsenI3axbw4gRYnRiChjLMmM	Publix Super Market at Jacaranda Commons Shopping Center	supermarket,florist,deli,liquor_store,market,bakery,grocery_store,food_store,food,store,point_of_interest,establishment
ChIJLwykE35Qw4gRS50pL4BuL5o	Wawa	fast_food_restaurant,coffee_shop,breakfast_restaurant,candy_store,convenience_store,cafe,sandwich_shop,confectionery,gas_station,restaurant,service,food_store,food,store,point_of_interest,establishment
ChIJ3Zj87MiqxIgRStJeP8MmPfg	Publix Super Market at Gulf Cove	supermarket,deli,liquor_store,florist,bakery,grocery_store,market,food_store,store,point_of_interest,food,establishment
ChIJXwwQtU6r3IgR2rg7xGTgHJU	Publix Super Market at Cocoplum Village Shops	supermarket,deli,liquor_store,florist,bakery,grocery_store,market,food_store,store,point_of_interest,food,establishment
ChIJbfJDTbGs3IgR3f-3-uk5EbU	Publix Super Market at Heron Creek Towne Center	supermarket,florist,deli,liquor_store,market,bakery,grocery_store,food_store,food,store,point_of_interest,establishment
ChIJiehb7Eir3IgRT3DajwKRheQ	Wawa	fast_food_restaurant,gas_station,convenience_store,coffee_shop,candy_store,breakfast_restaurant,cafe,sandwich_shop,confectionery,food_store,service,store,restaurant,point_of_interest,food,establishment
ChIJbyyhqSmoxIgRaGB5sW4E0Tk	Publix Super Market at Olde Village	supermarket,deli,liquor_store,florist,bakery,grocery_store,market,food_store,store,point_of_interest,food,establishment
ChIJFchxnEFbw4gRlwnBC1XrfRQ	Publix Super Market at Nokomis Village	supermarket,deli,florist,bakery,liquor_store,market,grocery_store,food_store,store,food,point_of_interest,establishment
ChIJbzSb5pJDw4gRSxlG5EV2Mhw	Publix Super Market at Shops at Casey Key	supermarket,deli,florist,bakery,liquor_store,market,grocery_store,food_store,store,food,point_of_interest,establishment
ChIJQYFBq4FBw4gRV-7sp5QAw5Y	Publix Super Market at Sarasota Pavilion	supermarket,liquor_store,deli,florist,market,grocery_store,bakery,food_store,store,food,point_of_interest,establishment
ChIJ1bgQOiNBw4gRaLJEzdXdWgY	Wawa	fast_food_restaurant,gas_station,sandwich_shop,candy_store,convenience_store,coffee_shop,confectionery,breakfast_restaurant,cafe,food_store,restaurant,food,point_of_interest,store,service,establishment
ChIJu0I8_QtAw4gRtJ68urETyEo	Publix Super Market at Broadway Promenade	supermarket,liquor_store,deli,florist,bakery,grocery_store,market,food_store,food,point_of_interest,store,establishment
ChIJz4kkIbpGw4gRkWtCPogTW5A	Wawa	fast_food_restaurant,sandwich_shop,gas_station,candy_store,coffee_shop,breakfast_restaurant,cafe,convenience_store,confectionery,food_store,store,restaurant,food,point_of_interest,service,establishment
ChIJKdSqcLQRw4gRYVfk3NPAZLk	Publix Super Market at Holmes Beach	supermarket,deli,liquor_store,florist,bakery,grocery_store,market,food_store,store,point_of_interest,food,establishment
ChIJjxNwTogWw4gRAaZttP7DxxU	Publix Super Market at Bradenton Commons	supermarket,liquor_store,deli,florist,bakery,grocery_store,market,food_store,food,point_of_interest,store,establishment
ChIJT2tT7QM_w4gRuD7XeYf3wJE	Publix Super Market at University Walk	supermarket,deli,florist,bakery,liquor_store,market,grocery_store,food_store,store,food,point_of_interest,establishment
ChIJMxR-xx85w4gRK3VcX8JFeo0	BJ's Wholesale Club	gas_station,deli,bakery,liquor_store,electronics_store,tire_shop,auto_parts_store,car_repair,manufacturer,grocery_store,food_store,supplier,store,health,food,point_of_interest,service,establishment
ChIJNaLB_dk4w4gRSrWtMKOcqFk	Wawa	fast_food_restaurant,sandwich_shop,breakfast_restaurant,gas_station,candy_store,coffee_shop,cafe,convenience_store,confectionery,food_store,store,restaurant,food,point_of_interest,service,establishment
ChIJ8XaWeScXw4gR6ZbDACeHWNo	Publix Super Market at Beachway Plaza	supermarket,liquor_store,deli,florist,market,grocery_store,bakery,food_store,store,food,point_of_interest,establishment
ChIJWyTNmKojw4gR_ewI6bzBwno	Publix Super Market at Gateway Commons	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJGeqcQ-8Xw4gRLfFiayeTvU8	Publix Super Market at Palmetto	supermarket,liquor_store,deli,florist,market,grocery_store,bakery,food_store,store,food,point_of_interest,establishment
ChIJEz2aovo8w4gR7-a6QCBaULE	Wawa	fast_food_restaurant,sandwich_shop,gas_station,candy_store,coffee_shop,breakfast_restaurant,cafe,convenience_store,confectionery,food_store,store,restaurant,food,point_of_interest,service,establishment
ChIJ09fxHtoXw4gRuzQ80PmhU1w	Publix Super Market at Westgate Shopping Center	supermarket,liquor_store,deli,florist,market,grocery_store,bakery,food_store,store,food,point_of_interest,establishment
ChIJ28Mv-vI8w4gRnWZgLT-w1fg	Publix Super Market at Rivers Edge	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJO8mh7Okkw4gREs2jIJ130W4	Publix Super Market at The Shops at Silver Leaf	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJW2dc_U0lw4gRGJnEmdM3Nyo	Publix Super Market at Market Walk at North River Ranch	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJu8Q3S1U6w4gRDMC8rGNpl_8	Publix Super Market at Lakewood Ranch Gateway	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJl_oTcr07w4gRdviPCpmKZEY	Publix Super Market at White Eagle	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
ChIJbZts7kI7w4gR8v6D69csQt8	Wawa	fast_food_restaurant,gas_station,candy_store,sandwich_shop,coffee_shop,breakfast_restaurant,cafe,confectionery,convenience_store,food_store,store,service,restaurant,food,point_of_interest,establishment
ChIJ0Vh5xwQlw4gRUkzovw05cVc	Publix Super Market at Parkwood Square	supermarket,florist,market,grocery_store,liquor_store,deli,bakery,food_store,store,food,point_of_interest,establishment
